Number	Genename	Locus	Count	Xenbase_ID
gene1	slc26a4.L	chr3L	447012	XB-GENE-17339095
gene2	ssbp2.L	chr1L	108717585	XB-GENE-17345148
gene3	sp4.S	chr6S	108719922	XB-GENE-17332370
gene4	rbp4.S	chr7S	380159	XB-GENE-17335507
gene5	cnrip1.L	chr5L	494687	XB-GENE-980473
gene6	mapre1.L	chr9_10L	380590	XB-GENE-17334525
gene7	fmo2.L	chr4L	108714416	XB-GENE-6254926
gene8	noxo1.L	chr9_10L	108701668	XB-GENE-17337234
gene9	LOC108711592	chr3L	108711592	
gene10	LOC108710558	chr3L	108710558	
gene11	adamts16.L	chr6L	108718509	XB-GENE-6486533
gene12	rom1.L	chr4L	379513	XB-GENE-962407
gene13	LOC108700273	chr8S	108700273	
gene14	LOC108714665	chr4L	108714665	
gene15	psmb7.2.L	chr8L	379551	XB-GENE-865297
gene16	lin28a.S	chr2S	387262	XB-GENE-866059
gene17	LOC108714493	chr4L	108714493	
gene18	apoe.L	chr7L	495356	XB-GENE-866470
gene19	nars.S	chr1S	108707326	XB-GENE-17344681
gene20	stau1.S	chr9_10S	398937	XB-GENE-17331320
gene21	tcf25.L	chr4L	100049094	XB-GENE-865199
gene22	ocrl.S	chr8S	108700111	XB-GENE-6485985
gene23	linc00116.L	chr5L	108716636	XB-GENE-6485803
gene24	rrm2.1.L	chr5L	443815	XB-GENE-947057
gene25	LOC108708308	chr2L	108708308	
gene26	sestd1.L	chr9_10L	444313	XB-GENE-17336952
gene27	ago4.S	chr2S	108709552	XB-GENE-17331923
gene28	exd2.L	chr8L	398805	XB-GENE-5752458
gene29	LOC108699335	chr8L	108699335	
gene30	p4ha1.L	chr7L	108696224	XB-GENE-6486319
gene31	zbtb7c.S	chr1S	108707345	XB-GENE-17339370
gene32	LOC108719478	chr6L	108719478	
gene33	itga7.S	chr2S	108708991	XB-GENE-17345398
gene34	LOC108695370	chr6S	108695370	
gene35	picalm.L	chr2L	108708813	XB-GENE-6487285
gene36	ndufaf6.L	chr6L	108719361	XB-GENE-6488090
gene37	LOC108707333	chr1S	108707333	XB-GENE-17330582
gene38	dtx2.L	chr2L	108708300	XB-GENE-17343362
gene39	map4k3.L	chr5L	108716656	XB-GENE-6489189
gene40	akr1d1.L	Scaffold31	734699	XB-GENE-947172
gene41	LOC108704391	Scaffold32	108704391	
gene42	LOC108718040	chr5S	108718040	
gene43	LOC108713605	chr4L	108713605	
gene44	cdk5r1.L	chr6S	373685	XB-GENE-6252860
gene45	fam72a.L	chr2L	108708126	XB-GENE-17346421
gene46	stk31.L	Scaffold90	108705311	XB-GENE-17339697
gene47	epas1.L	chr5L	444145	XB-GENE-981617
gene48	ppp1r13l.S	chr8S	108700197	XB-GENE-17330703
gene49	gadd45g.S	chr1S	379285	XB-GENE-17331725
gene50	slc9a3r1.L	chr9_10L	495828	XB-GENE-17341728
gene51	LOC108698217	chr8L	108698217	
gene52	aff2.L	chr8L	108698911	XB-GENE-17341244
gene53	slc39a10.L	chr9_10L	108701450	XB-GENE-17333187
gene54	LOC100101274	chr1L	100101274	
gene55	tnks.L	Scaffold112	495279	XB-GENE-968823
gene56	gtpbp1.S	chr4S	495150	XB-GENE-951188
gene57	ttyh1.S	chr7S	444603	XB-GENE-17339952
gene58	LOC108713677	chr4L	108713677	
gene59	LOC100036918	chr1L	100036918	
gene60	gcg.2.L	chr2L	108707742	XB-GENE-17334941
gene61	ift172.L	chr5L	733157	XB-GENE-1221175
gene62	MGC53587	chr6L	379107	XB-GENE-6251647
gene63	LOC108717534	chr5S	108717534	
gene64	c1s.L	chr7L	733422	XB-GENE-995414
gene65	smox.L	chr1L	108697130	XB-GENE-17330544
gene66	rnf180.L	chr1L	108695766	XB-GENE-17335839
gene67	akr1c3.L	Scaffold31	443571	XB-GENE-5821995
gene68	uqcc3.L	chr2L	734185	XB-GENE-6251847
gene69	mmp13l.S	chr2S	398056	XB-GENE-481563
gene70	acsl3.L	chr5L	108717083	XB-GENE-6486544
gene71	crtc1.S	chr1S	108706909	XB-GENE-17334541
gene72	foxd4l1.2.L	chr1L	373630	XB-GENE-6252884
gene73	tmem110.L	chr4L	108714565	XB-GENE-17340652
gene74	spint2.L	chr8L	734702	XB-GENE-947336
gene75	rhbdl2.S	Scaffold43	108704657	XB-GENE-17332471
gene76	ppp3ca.S	chr1S	380507	XB-GENE-17332924
gene77	psmc3.L	chr4L	379941	XB-GENE-962533
gene78	fgb.S	chr1S	108706652	XB-GENE-17330681
gene79	foxi4.2.S	chr1S	397954	XB-GENE-865722
gene80	serinc5.S	chr1S	108705382	XB-GENE-17334894
gene81	chp1.S	Scaffold34	414686	XB-GENE-17336366
gene82	bod1.L	Scaffold24	446336	XB-GENE-6079024
gene83	LOC108699256	chr8L	108699256	
gene84	hebp1.L	chr4L	414628	XB-GENE-1002296
gene85	march8.L	chr7L	495072	XB-GENE-944310
gene86	LOC108698589	chr8L	108698589	
gene87	lhcgr.L	chr5L	378624	XB-GENE-986654
gene88	mrgbp.L	chr9_10L	108700944	XB-GENE-6485933
gene89	hnrnpk.L	chr1L	108714592	XB-GENE-17333505
gene90	nmt1.L	chr6L	444545	XB-GENE-946339
gene91	reep4.S	chr3S	446733	XB-GENE-982265
gene92	cela1.S	chr2S	447166	
gene93	frmpd4.S	chr2S	108708947	XB-GENE-17341188
gene94	pou5f3.2.L	chr8L	379522	XB-GENE-919851
gene95	tmem98.S	chr9_10S	108702530	XB-GENE-17331973
gene96	myh7b.S	chr9_10S	108702765	XB-GENE-11536246
gene97	shroom1.L	chr3L	399339	XB-GENE-6254041
gene98	golga2.S	chr8S	447440	XB-GENE-1003133
